KunstnerNøkkel,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,Antall verk
JakobWeidemann1923,Jakob,Weidemann,1923,2001,71
BendikRiis1911,Bendik,Riis,1911,1988,38
Gunnar S.Gundersen1921,Gunnar S.,Gundersen,1921,1983,44
JosefAlbers1888,Josef,Albers,1888,1976,1
OlleBærtling1911,Olle,Bærtling,1911,1986,2
BurgoyneDiller1906,Burgoyne,Diller,1906,1965,1
OlavStrømme1909,Olav,Strømme,1909,1978,37
VictorVasarely1908,Victor,Vasarely,1908,1997,11
RyszardWarsinski1937,Ryszard,Warsinski,1937,1996,103
JakobSchmidt1947,Jakob,Schmidt,1947,1992,12
TonySmith1912,Tony,Smith,1912,1980,1
RobertSmithson1938,Robert,Smithson,1938,1973,36
HendrikGoltzius1558,Hendrik,Goltzius,1558,1617,55
ToreHaaland1918,Tore,Haaland,1918,2006,8
RamonIsern1914,Ramon,Isern,1914,1989,10
TorHoff1925,Tor,Hoff,1925,1976,27
KnutRumohr1916,Knut,Rumohr,1916,2002,134
Leif EgilReitan1927,Leif Egil,Reitan,1927,1990,4
RoarWold1926,Roar,Wold,1926,2001,18
Bjørn-WillyMortensen1941,Bjørn-Willy,Mortensen,1941,1993,73
UnniLund1914,Unni,Lund,1914,2007,9
KnutRose1936,Knut,Rose,1936,2002,46
ArveHovig1944,Arve,Hovig,1944,1999,6
Else MarieJakobsen1927,Else Marie,Jakobsen,1927,2012,1
JohsRian1891,Johs,Rian,1891,1981,105
ArneStømne1918,Arne,Stømne,1918,1995,11
TerjeMoe1943,Terje,Moe,1943,2004,7
LudvigEikaas1920,Ludvig,Eikaas,1920,2010,90
AntonHelmersberg1917,Anton,Helmersberg,1917,1993,7
NiclasGulbrandsen1930,Niclas,Gulbrandsen,1930,2013,163
FritzRøed1928,Fritz,Røed,1928,2002,10
ArnoldHaukeland1920,Arnold,Haukeland,1920,1983,14
RobertJacobsen1912,Robert,Jacobsen,1912,1993,8
NilsAas1933,Nils,Aas,1933,2004,89
