KunstnerNøkkel,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,FØDESTED,DØDSSTED,Koordinat fødested,Koordinat dødssted,Nasjonalitet kunstner,Kjønn kunstner,Yrke kunstner,Antall verk
NO_NAME,,,,,,,,,,,,4196
AlisonWilding1948,Alison,Wilding,1948,,,,,,Storbritannia,Kvinne,,1
JakobWeidemann1923,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,71
BendikRiis1911,Bendik,Riis,1911,1988,,,,,Norge,Mann,Billedkunstner,38
MimmoPaladino1948,Mimmo,Paladino,1948,,,,,,Italia,Mann,,6
Håkon IngvaldBleken1929,Håkon Ingvald,Bleken,1929,,,,,,Norge,Mann,Billedkunstner,60
Gunnar S.Gundersen1921,Gunnar S.,Gundersen,1921,1983,,,,,Norge,Mann,Billedkunstner,44
Ronald BrooksKitaj1932,Ronald Brooks,Kitaj,1932,,,,,,,Mann,,5
JensJohannessen1934,Jens,Johannessen,1934,,,,,,Norge,Mann,Billedkunstner,67
JamesRosenquist1933,James,Rosenquist,1933,,,,,,USA,Mann,,3
SolLeWitt1928,Sol,LeWitt,1928,,,,,,USA,,,15
JürgenWenzel1950,Jürgen,Wenzel,1950,,,,,,Tyskland,Mann,,2
StefanPlenkers1945,Stefan,Plenkers,1945,,,,,,Tyskland,Mann,,2
AntoniTàpies1923,Antoni,Tàpies,1923,,Barcelona (Spania),,,,Spania,Mann,,3
PaulBrand1941,Paul,Brand,1941,,,,,,Norge,Mann,Billedkunstner,17
BjørnCarlsen1945,Bjørn,Carlsen,1945,,,,,,Norge,Mann,Billedkunstner,26
BerndKoberling1938,Bernd,Koberling,1938,,,,,,Tyskland,Mann,,2
JoachimBandau1936,Joachim,Bandau,1936,,,,,,Tyskland,Mann,,4
MichaelCroissant1928,Michael,Croissant,1928,,,,,,Tyskland,Mann,,6
ImiKnoebel1940,Imi,Knoebel,1940,,,,,,Tyskland,Mann,,1
UlrichRückriem1938,Ulrich,Rückriem,1938,,,,,,Tyskland,Mann,,4
ReinerRuthenbeck1937,Reiner,Ruthenbeck,1937,,,,,,Tyskland,Mann,,2
