KunstnerNøkkel,BETEGNELSE,Avledet datering,Avledet ervervelsesdato
JakobWeidemann1923,Maleri,1957,1989
JakobWeidemann1923,Maleri,1957,1989
BendikRiis1911,Maleri,1955,1988
MimmoPaladino1948,Maleri,1988,1988
Håkon IngvaldBleken1929,Maleri,1978,1989
Gunnar S.Gundersen1921,Maleri,1950,1989
JakobWeidemann1923,Maleri,1945,1989
JakobWeidemann1923,Maleri,1945,1989
JakobWeidemann1923,Maleri,1945,1989
JakobWeidemann1923,Maleri,1945,1989
JakobWeidemann1923,Maleri,1948,1989
JakobWeidemann1923,Maleri,1949,1989
JakobWeidemann1923,Maleri,1948,1989
JakobWeidemann1923,Maleri,1948,1989
JakobWeidemann1923,Maleri,1961,1989
Ronald BrooksKitaj1932,Maleri,1973,1985
JensJohannessen1934,Maleri,1976,1990
JamesRosenquist1933,Grafikk,1988,1990
JamesRosenquist1933,Grafikk,1988,1990
SolLeWitt1928,Maleri,1985,1990
SolLeWitt1928,Maleri,1985,1990
SolLeWitt1928,Maleri,1986,1990
SolLeWitt1928,Maleri,1985,1990
SolLeWitt1928,Maleri,1986,1990
SolLeWitt1928,Maleri,1986,1990
JürgenWenzel1950,Maleri,1990,1990
JürgenWenzel1950,Maleri,1990,1990
StefanPlenkers1945,Maleri,1988,1990
StefanPlenkers1945,Maleri,1989,1990
AntoniTàpies1923,Maleri,1985,1990
PaulBrand1941,Maleri,1988,1991
BjørnCarlsen1945,Maleri,1981,1990
BerndKoberling1938,Maleri,1988,1991
JoachimBandau1936,Skulptur,1982,1990
JoachimBandau1936,Maleri,1983,1990
JoachimBandau1936,Maleri,1983,1990
JoachimBandau1936,Maleri,1983,1990
MichaelCroissant1928,Skulptur,1982,1990
MichaelCroissant1928,Tegning,1972,1990
MichaelCroissant1928,Tegning,1975,1990
MichaelCroissant1928,Tegning,1978,1990
MichaelCroissant1928,Tegning,1980,1990
MichaelCroissant1928,Tegning,1981,1990
ImiKnoebel1940,Skulptur,1981,1990
