id,artistId,produced,acquired,kind
DEP00000094,1,1993,,Skulptur
DEP00001-1989,2,1957,,Maleri
DEP00002-1989,2,1957,,Maleri
DEP00003-1988,3,1955,,Maleri
DEP00004-1988,4,1988,,Maleri
DEP00005-1989,5,1978,,Maleri
DEP00006-1989,6,1989,,Maleri
DEP00007-1989,2,1989,,Maleri
DEP00008-1989,2,1945,,Maleri
DEP00009-1989,2,1945,,Maleri
DEP00010-1989,2,1989,,Maleri
DEP00011-1989,2,1948,,Maleri
DEP00012-1989,2,1949,,Maleri
DEP00013-1989,2,1989,,Maleri
DEP00014-1989,2,1989,,Maleri
DEP00015-1989,2,1961,,Maleri
DEP00017-1988,7,1988,1985,Maleri
DEP00018-1990,8,1990,,Maleri
DEP00019-1990,9,1990,,Grafikk
DEP00020-1990,9,1990,,Grafikk
DEP00021-1990,10,1985,,Maleri
DEP00022-1990,10,1985,,Maleri
DEP00023-1990,10,1986,,Maleri
DEP00024-1990,10,1985,,Maleri
DEP00025-1990,10,1986,,Maleri
DEP00026-1990,10,1986,,Maleri
DEP00027-1990,11,1990,,Maleri
DEP00028-1990,11,1990,,Maleri
DEP00029-1990,12,1988,,Maleri
DEP00030-1990,12,1989,,Maleri
DEP00031-1990,13,1985,,Maleri
DEP00032-1991,14,1988,,Maleri
DEP00033-1990,15,1990,,Maleri
DEP00034-1991,16,1988,,Maleri
DEP00035-1990,17,1982,,Skulptur
DEP00036-1990,17,1983,,Maleri
DEP00037-1990,17,1983,,Maleri
DEP00038-1990,17,1983,,Maleri
DEP00039-1990,18,1982,,Skulptur
DEP00040-1990,18,1972,,Tegning
DEP00041-1990,18,1975,,Tegning
DEP00042-1990,18,1978,,Tegning
DEP00043-1990,18,1980,,Tegning
DEP00044-1990,18,1981,,Tegning
DEP00045-1990,19,1981,,Skulptur
DEP00046-1990,20,1979,,Skulptur
DEP00047-1990,20,1982,,Skulptur
DEP00048-1990,20,1980,,Tegning
DEP00049-1990,20,1980,,Tegning
DEP00050-1990,21,1976,,Skulptur
DEP00051-1990,21,1983,,Skulptur
DEP00052-1990,22,1990,,Skulptur
DEP00053-1990,22,1974,,Tegning
DEP00054-1990,22,1980,,Tegning
DEP00055-1990,22,1981,,Tegning
DEP00057-1992,23,1961,,Maleri
DEP00058-1992,24,1965,,Maleri
DEP00059-1992,25,1954,,Maleri
DEP00060-1992,26,1962,,Maleri
DEP00063-1992,27,1992,,Tekstil
DEP00064-1992,27,1988,,Tekstil
DEP00067-1992,28,1992,,Maleri
DEP00068-1992,29,1988,,Maleri
DEP00069-1992,29,1989,,Maleri
DEP00070-1992,30,1991,,Maleri
DEP00071-1992,30,1991,,Maleri
DEP00072-1992,31,1992,,Maleri
DEP00073-1992,32,1950,,Maleri
DEP00074-1992,33,1980,,Maleri
