id,artistId,produced,acquired,kind,imageCount
DEP00000094,1,1993,,Skulptur,0
DEP00001-1989,2,1957,,Maleri,0
DEP00002-1989,2,1957,,Maleri,0
DEP00003-1988,3,1955,,Maleri,0
DEP00004-1988,4,1988,,Maleri,0
DEP00005-1989,5,1978,,Maleri,0
DEP00006-1989,6,1989,,Maleri,0
DEP00007-1989,2,1989,,Maleri,0
DEP00008-1989,2,1945,,Maleri,0
DEP00009-1989,2,1945,,Maleri,0
DEP00010-1989,2,1989,,Maleri,0
DEP00011-1989,2,1948,,Maleri,0
DEP00012-1989,2,1949,,Maleri,0
DEP00013-1989,2,1989,,Maleri,0
DEP00014-1989,2,1989,,Maleri,0
DEP00015-1989,2,1961,,Maleri,0
DEP00017-1988,7,1988,1985,Maleri,0
DEP00018-1990,8,1990,,Maleri,0
DEP00019-1990,9,1990,,Grafikk,0
DEP00020-1990,9,1990,,Grafikk,0
DEP00021-1990,10,1985,,Maleri,0
DEP00022-1990,10,1985,,Maleri,0
DEP00023-1990,10,1986,,Maleri,0
DEP00024-1990,10,1985,,Maleri,0
DEP00025-1990,10,1986,,Maleri,0
DEP00026-1990,10,1986,,Maleri,0
DEP00027-1990,11,1990,,Maleri,0
DEP00028-1990,11,1990,,Maleri,0
DEP00029-1990,12,1988,,Maleri,0
DEP00030-1990,12,1989,,Maleri,0
DEP00031-1990,13,1985,,Maleri,0
DEP00032-1991,14,1988,,Maleri,0
DEP00033-1990,15,1990,,Maleri,1
DEP00034-1991,16,1988,,Maleri,0
DEP00035-1990,17,1982,,Skulptur,0
DEP00036-1990,17,1983,,Maleri,0
DEP00037-1990,17,1983,,Maleri,0
DEP00038-1990,17,1983,,Maleri,0
DEP00039-1990,18,1982,,Skulptur,0
DEP00040-1990,18,1972,,Tegning,0
DEP00041-1990,18,1975,,Tegning,0
DEP00042-1990,18,1978,,Tegning,0
DEP00043-1990,18,1980,,Tegning,0
DEP00044-1990,18,1981,,Tegning,0
DEP00045-1990,19,1981,,Skulptur,0
DEP00046-1990,20,1979,,Skulptur,0
DEP00047-1990,20,1982,,Skulptur,0
DEP00048-1990,20,1980,,Tegning,0
DEP00049-1990,20,1980,,Tegning,0
DEP00050-1990,21,1976,,Skulptur,0
DEP00051-1990,21,1983,,Skulptur,0
DEP00052-1990,22,1990,,Skulptur,0
DEP00053-1990,22,1974,,Tegning,0
DEP00054-1990,22,1980,,Tegning,0
DEP00055-1990,22,1981,,Tegning,0
DEP00057-1992,23,1961,,Maleri,0
DEP00058-1992,24,1965,,Maleri,0
DEP00059-1992,25,1954,,Maleri,0
DEP00060-1992,26,1962,,Maleri,0
DEP00063-1992,27,1992,,Tekstil,0
DEP00064-1992,27,1988,,Tekstil,3
DEP00067-1992,28,1992,,Maleri,0
DEP00068-1992,29,1988,,Maleri,0
DEP00069-1992,29,1989,,Maleri,0
DEP00070-1992,30,1991,,Maleri,0
DEP00071-1992,30,1991,,Maleri,0
DEP00072-1992,31,1992,,Maleri,0
DEP00073-1992,32,1950,,Maleri,0
DEP00074-1992,33,1980,,Maleri,0
DEP00075-1992,34,1992,,Maleri,0
DEP00076-1992,35,1992,,Maleri,0
DEP00077-1992,35,1989,,Maleri,0
DEP00078-1992,35,1989,,Maleri,0
DEP00079-1992,35,1989,,Maleri,0
DEP00080-1992,9,1991,,Maleri,0
DEP00081-1993,36,1993,,Grafikk,0
DEP00082-1992,37,1989,,Grafikk,0
DEP00083-1992,37,1989,,Grafikk,0
DEP00084-1993,38,1992,,Installasjon,0
DEP00085-1993,39,1988,,Skulptur,0
DEP00086-1993,40,1983,,Skulptur,0
DEP00087-1993,41,1988,,Grafikk,0
DEP00088-1993,41,1988,,Grafikk,0
DEP00089-1993,42,1989,,Maleri,0
DEP00090-1994,43,1977,,Maleri,0
DEP00091-1994,44,1994,,Maleri,0
DEP00092-1994,45,1969,,Skulptur,0
DEP00093-1994,27,1986,,Tekstil,0
DEP00095-1995,43,1995,,Maleri,0
DEP00097-1996,46,1995,,Installasjon,0
DEP00098-1996,43,1978,,Maleri,0
DEP00099-1997,32,1997,,Maleri,0
DEP00100-1997,30,1990,,Maleri,0
DEP00101-1997,47,1962,,Tegning,0
DEP00102-1997,47,1960,,Tegning,0
DEP00103-1997,47,1961,,Tegning,0
DEP00104-1997,47,1962,,Tegning,0
DEP00105-1997,47,1962,,Tegning,0
DEP00106-1998,2,1951,,Maleri,0
DEP00107-1998,48,1998,,Maleri,0
DEP00108-1999,49,1979,1999,Skulptur,0
DEP00109-1999,47,1999,,Skulptur,0
DEP00111-2003,2,1968,,Maleri,0
DEP00112-2003,2,1965,,Maleri,1
DEP00113-2004,49,1987,,Installasjon,0
DEP00114-2004,49,1987,,Installasjon,0
DEP00115-2004,49,1989,,Installasjon,0
DEP00116-2004,49,1999,,Installasjon,0
DKS.A.00088,50,,,Grafikk,0
MS-00001-1988,51,1975,1988,Maleri,4
MS-00002-1988,51,1982,,Grafikk,1
MS-00003-1988,51,1983,,Grafikk,1
MS-00004-1988,51,1985,,Grafikk,1
MS-00005-1988,51,1986,,Grafikk,1
MS-00006-1988,51,1980,,Grafikk,1
MS-00007-1988,48,1987,,Maleri,1
MS-00008-1988,52,1988,,Maleri,1
MS-00009-1988,53,1988,,Maleri,1
MS-00010-1988,54,1985,1988,Tegning,1
MS-00011-1988,55,1987,,Maleri,1
MS-00012-1988,56,1988,1988,Maleri,1
MS-00013-1988,57,1947,,Maleri,1
MS-00014-1988,58,1985,,Grafikk,1
MS-00015-1988,54,1987,,Tegning,1
MS-00016-1988,59,1988,1988,Grafikk,2
MS-00017-1988,59,1988,1988,Grafikk,2
MS-00018-1988,60,1987,,Maleri,1
MS-00019-1988,10,1987,,Maleri,1
MS-00020-1988,10,1987,,Maleri,1
MS-00021-1988,10,1987,,Maleri,1
MS-00022-1988,10,1987,,Maleri,1
MS-00023-1988,10,1987,,Maleri,1
MS-00024-1988,10,1987,,Maleri,1
MS-00025-1988,61,1988,,Maleri,3
MS-00026-1988,61,1988,,Maleri,1
MS-00027-1988,61,1988,,Maleri,3
MS-00028-1988,62,1988,,Tegning,1
MS-00029-1988,63,1988,,Grafikk,1
MS-00030-1988,64,1988,,Grafikk,1
MS-00031-1988,64,1988,,Grafikk,1
MS-00033-1988,29,1988,1988,Maleri,3
MS-00034-1988,29,1988,1988,Maleri,3
MS-00035-1988,65,1988,,Skulptur,1
MS-00036-1988,65,1988,,Skulptur,1
MS-00037-1988,66,1988,1988,Skulptur,1
MS-00038-1988,67,1988,,Maleri,1
MS-00039-1988,67,1987,,Maleri,1
MS-00040-1988,67,1987,,Maleri,1
MS-00041-1988,68,1986,,Maleri,1
MS-00042-1988,68,1987,,Maleri,1
MS-00043-1988,68,1987,,Maleri,1
MS-00044-1988,68,1987,,Maleri,1
MS-00045-1988,68,1987,,Maleri,1
MS-00046-1988,68,1987,,Maleri,1
MS-00047-1988,68,1987,,Maleri,1
MS-00048-1988,69,1986,,Skulptur,2
MS-00049-1988,69,1986,,Skulptur,1
MS-00050-1988,69,1986,,Skulptur,1
MS-00051-1988,61,1988,,Grafikk,1
MS-00052-1988,27,1982,,Tekstil,1
MS-00053-1988,3,1955,1988,Tegning,2
MS-00054-1988,3,1940,,Maleri,1
MS-00055-1988,3,1957,1988,Maleri,4
MS-00056-1988,3,1950,1988,Maleri,1
MS-00057-1988,70,1986,,Skulptur,1
MS-00058-1988,71,1986,,Maleri,1
MS-00059-1988,71,1987,,Maleri,1
MS-00060-1988,15,1987,,Maleri,1
MS-00061-1988,15,1987,,Maleri,1
MS-00062-1988,72,1988,,Tegning,1
MS-00063-1988,73,1988,,Skulptur,1
MS-00064-1988,74,1985,,Tegning,1
MS-00065-1988,74,1985,,Maleri,1
MS-00066-1988,74,1988,,Maleri,1
MS-00067-1988,74,1988,,Maleri,1
MS-00068-1988,75,1988,,Grafikk,1
MS-00069-1988,75,1988,,Grafikk,1
MS-00070-1988,28,1955,1988,Maleri,3
MS-00071-1988,76,1988,,Tegning,1
MS-00072-1988,76,1988,,Tegning,1
MS-00073-1988,76,1988,,Tegning,1
MS-00074-1988,76,1988,,Tegning,1
MS-00075-1988,41,1987,,Grafikk,1
MS-00076-1988,41,1988,,Grafikk,1
MS-00077-1988,41,1988,,Grafikk,1
MS-00079-1988,77,1988,,Maleri,1
MS-00080-1988,78,1985,,Skulptur,1
MS-00081-1988,79,1988,,Maleri,1
MS-00082-1988,80,1959,,Maleri,1
MS-00083-1988,80,1960,,Maleri,1
MS-00084-1988,81,1988,,Maleri,2
MS-00085-1988,82,1987,,Maleri,1
MS-00086-1988,83,1988,,Tekstil,1
MS-00087-1988,75,1988,,Maleri,1
MS-00088-1988,84,1988,,Grafikk,1
MS-00088-1988-1,84,1988,,Grafikk,0
MS-00088-1988-2,84,1988,,Grafikk,0
MS-00088-1988-3,84,1988,,Grafikk,0
MS-00088-1988-4,84,1988,,Grafikk,0
MS-00088-1988-5,84,1988,,Grafikk,0
MS-00088-1988-6,84,1988,,Grafikk,0
MS-00088-1988-7,84,1988,,Grafikk,0
MS-00088-1988-8,84,1988,,Grafikk,0
MS-00088-1988-9,84,1988,,Grafikk,0
MS-00089-1988,85,1987,,Maleri,3
MS-00090-1988,85,1988,,Maleri,3
MS-00091-1988,85,1988,,Maleri,3
MS-00092-1988-1,86,1985,,Grafikk,1
MS-00092-1988-2,87,1985,,Grafikk,1
MS-00092-1988-3,88,1985,,Grafikk,1
MS-00092-1988-4,89,1985,,Grafikk,1
MS-00092-1988-5,90,1985,,Grafikk,1
MS-00092-1988-6,91,1985,,Grafikk,1
MS-00092-1988-7,92,1985,,Grafikk,1
MS-00092-1988-8,81,1985,,Grafikk,1
MS-00093-1988,8,1988,,Grafikk,0
MS-00094-1988,87,1987,,Grafikk,1
MS-00095-1988,87,1987,,Grafikk,1
MS-00096-1988,87,1986,,Grafikk,1
MS-00097-1988,87,1986,,Grafikk,1
MS-00098-1988,87,1986,,Grafikk,1
MS-00099-1988,16,1981,,Maleri,1
MS-00100-1988,76,1985,1988,Maleri,1
MS-00101-1988,93,1985,1988,Maleri,1
MS-00102-1988,63,1985,1988,Maleri,1
MS-00103-1988,94,1984,1988,Maleri,3
MS-00104-1988,95,1985,1988,Maleri,1
MS-00105-1988,96,1985,1988,Maleri,1
MS-00106-1988,97,1986,1988,Maleri,1
MS-00107-1988,98,1986,1988,Maleri,1
MS-00108-1988,99,1975,1988,Maleri,1
MS-00109-1988,100,1985,1986,Tegning,1
MS-00110-1988,48,1984,1988,Maleri,2
MS-00111-1988,52,1981,1988,Maleri,1
MS-00112-1988,101,1981,1988,Maleri,1
MS-00113-1988,95,1984,1988,Maleri,1
MS-00114-1988,102,1962,1988,Maleri,1
MS-00115-1988,103,1970,1988,Maleri,1
MS-00116-1988,104,1977,1988,Maleri,3
MS-00117-1988,105,1985,1988,Maleri,1
MS-00118-1988,106,1981,1988,Maleri,1
MS-00119-1988,107,1987,1988,Maleri,1
MS-00120-1988,108,1988,1988,Maleri,3
MS-00121-1988,109,1986,1988,Maleri,1
MS-00122-1988,110,1986,1988,Maleri,3
MS-00123-1988,111,1980,1988,Maleri,1
MS-00124-1988,5,1978,1988,Maleri,1
MS-00125-1988,112,1984,1988,Maleri,1
MS-00126-1988,113,1980,1988,Maleri,3
MS-00127-1988,114,1984,1988,Maleri,1
MS-00128-1988,115,1987,1988,Maleri,1
MS-00129-1988,116,1986,1988,Maleri,1
MS-00130-1988,117,1988,1988,Maleri,1
MS-00131-1988,118,1983,1988,Maleri,1
MS-00132-1988,119,1985,1988,Maleri,1
MS-00133-1988,120,1986,1988,Maleri,1
MS-00135-1988,80,1978,1988,Collage,1
MS-00136-1988,31,1974,1988,Maleri,1
MS-00137-1988,48,1972,1988,Maleri,1
MS-00138-1988,121,1961,1988,Maleri,1
MS-00139-1988,122,1967,1988,Maleri,1
MS-00140-1988,123,1983,1988,Maleri,1
MS-00141-1988,124,1984,1988,Maleri,3
MS-00142-1988,79,1984,1988,Maleri,1
MS-00143-1988,125,1984,1988,Maleri,3
MS-00144-1988,101,1986,1988,Maleri,1
MS-00145-1988,126,1982,1988,Maleri,1
MS-00146-1988,127,1985,1988,Maleri,1
MS-00147-1988,128,1960,1988,Maleri,1
MS-00148-1988,112,1968,1988,Maleri,1
MS-00149-1988,129,1984,1988,Maleri,1
MS-00150-1988,112,1968,1988,Maleri,1
MS-00151-1988,130,1967,1988,Maleri,2
MS-00152-1988,6,1965,1988,Maleri,1
MS-00153-1988,131,1987,1988,Grafikk,1
MS-00154-1988,132,1979,1988,Maleri,1
MS-00155-1988,30,1979,1988,Maleri,1
MS-00156-1988,96,1987,1988,Maleri,1
MS-00157-1988,133,1986,1988,Maleri,1
MS-00158-1988,134,1962,1988,Maleri,1
MS-00159-1988,99,1952,1988,Maleri,1
MS-00160-1988,135,1983,1988,Maleri,1
MS-00161-1988,120,1983,1988,Maleri,1
MS-00162-1988,136,1977,1988,Collage,1
MS-00163-1988,65,1985,1988,Maleri,1
MS-00164-1988,113,1985,1988,Maleri,6
MS-00165-1988,137,1986,1988,Maleri,1
MS-00166-1988,138,1984,1988,Maleri,1
MS-00167-1988,139,1985,1988,Maleri,1
MS-00168-1988,130,1964,1988,Maleri,3
MS-00169-1988,140,1978,1988,Maleri,1
MS-00170-1988,141,1979,1988,Maleri,3
MS-00171-1988,94,1981,1988,Maleri,3
MS-00172-1988,121,1978,1988,Maleri,1
MS-00173-1988,142,1968,1988,Maleri,1
MS-00174-1988,111,1975,1988,Maleri,1
