INTVENTARNUMMER,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,FØDESTED,DØDSSTED,Koordinat fødested,Koordinat dødssted,Nasjonalitet kunstner,Kjønn kunstner,Yrke kunstner,Navn produsent,Nasjonalitet produsent,Produsent etablert,Bransje produsent,BETEGNELSE,Presisert betegnelse,EMNEORD,FARGE,Produksjonssted,Koordinat produksjonssted,Produsert fra dato,Produsert til dato,Aksesjon fra dato,Aksesjon til dato
B.09839VERSO,,,,,,,,,,,,,,,,Grafikk,,,,,,,,,
DEP00000094,Alison,Wilding,1948,,,,,,Storbritannia,Kvinne,,,,,,Skulptur,,Bildende kunst,,,,1993,1993,,
DEP00000094,,,,,,,,,,,,,,,,Skulptur,,Bildende kunst,,,,,,,
DEP00001-1989,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1957,1957,,
DEP00002-1989,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1957,1957,,
DEP00003-1988,Bendik,Riis,1911,1988,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1955,1955,,
DEP00004-1988,Mimmo,Paladino,1948,,,,,,Italia,Mann,,,,,,Maleri,,Bildende kunst,,,,1988,1988,,
DEP00005-1989,Håkon Ingvald,Bleken,1929,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1978,1978,,
DEP00006-1989,Gunnar S.,Gundersen,1921,1983,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00007-1989,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00008-1989,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1945,1945,,
