Identifikasjonsnr,Objekttype,Beskrivende datering,Ervervelse
NG.K&H.B.09728,Billedkunst,1964,
NG.K&H.B.09729,Billedkunst,(1964) Ant.,
NG.K&H.B.09730,Billedkunst,(1964) Ant.,
NG.K&H.B.09731,Billedkunst,(1964) Ant.,
NG.K&H.B.09732,Billedkunst,(1964) Ant.,
NG.K&H.B.09733,Billedkunst,(1964) Ant.,
NG.K&H.B.09734,Billedkunst,(1964) Ant.,
NG.K&H.B.09735,Billedkunst,(1964) Ant.,
NG.K&H.B.09736,Billedkunst,(1964) Ant.,
NG.K&H.B.09737,Billedkunst,(1964) Ant.,
NG.K&H.B.09738,Billedkunst,(1964) Ant.,
NG.K&H.B.09739,Billedkunst,(1964) Ant.,
NG.K&H.B.09740,Billedkunst,(1964) Ant.,
NG.K&H.B.09741,Billedkunst,(1964) Ant.,
NG.K&H.B.09742,Billedkunst,(1964) Ant.,
NG.K&H.B.09743,Billedkunst,,
NG.K&H.B.09744,Billedkunst,,
NG.K&H.B.09745,Billedkunst,,
NG.K&H.B.09746,Billedkunst,,
NG.K&H.B.09747,Billedkunst,,
NG.K&H.B.09748,Billedkunst,1961,
NG.K&H.B.09749,Billedkunst,,
NG.K&H.B.09750,Billedkunst,,
NG.K&H.B.09751,Billedkunst,,
NG.K&H.B.09752,Billedkunst,,
NG.K&H.B.09753,Billedkunst,,
NG.K&H.B.09754,Billedkunst,,
NG.K&H.B.09755,Billedkunst,,
NG.K&H.B.09756,Billedkunst,,
NG.K&H.B.09757,Billedkunst,,
NG.K&H.B.09758,Billedkunst,,
NG.K&H.B.09759,Billedkunst,,
NG.K&H.B.09760,Billedkunst,,
NG.K&H.B.09761,Billedkunst,,
NG.K&H.B.09762,Billedkunst,,
NG.K&H.B.09763,Billedkunst,,
NG.K&H.B.09764,Billedkunst,,
NG.K&H.B.09765,Billedkunst,,
NG.K&H.B.09766,Billedkunst,,
NG.K&H.B.09767,Billedkunst,,
NG.K&H.B.09768,Billedkunst,,
NG.K&H.B.09769,Billedkunst,,
NG.K&H.B.09770,Billedkunst,,
NG.K&H.B.09771,Billedkunst,,
NG.K&H.B.09772,Billedkunst,,
NG.K&H.B.09773,Billedkunst,,
NG.K&H.B.09774,Billedkunst,,
NG.K&H.B.09775,Billedkunst,,
NG.K&H.B.09776,Billedkunst,,
NG.K&H.B.09777,Billedkunst,,
NG.K&H.B.09778,Billedkunst,,
NG.K&H.B.09779,Billedkunst,,
