id,imageCount
DEP00000094,0
DEP00001-1989,0
DEP00002-1989,0
DEP00003-1988,0
DEP00004-1988,0
DEP00005-1989,0
DEP00006-1989,0
DEP00007-1989,0
DEP00008-1989,0
DEP00009-1989,0
DEP00010-1989,0
DEP00011-1989,0
DEP00012-1989,0
DEP00013-1989,0
DEP00014-1989,0
DEP00015-1989,0
DEP00017-1988,0
DEP00018-1990,0
DEP00019-1990,0
DEP00020-1990,0
DEP00021-1990,0
DEP00022-1990,0
DEP00023-1990,0
DEP00024-1990,0
DEP00025-1990,0
DEP00026-1990,0
DEP00027-1990,0
DEP00028-1990,0
DEP00029-1990,0
DEP00030-1990,0
DEP00031-1990,0
DEP00032-1991,0
DEP00033-1990,1
DEP00034-1991,0
DEP00035-1990,0
DEP00036-1990,0
DEP00037-1990,0
DEP00038-1990,0
DEP00039-1990,0
DEP00040-1990,0
DEP00041-1990,0
DEP00042-1990,0
DEP00043-1990,0
DEP00044-1990,0
DEP00045-1990,0
DEP00046-1990,0
DEP00047-1990,0
DEP00048-1990,0
DEP00049-1990,0
DEP00050-1990,0
DEP00051-1990,0
DEP00052-1990,0
DEP00053-1990,0
DEP00054-1990,0
DEP00055-1990,0
DEP00057-1992,0
DEP00058-1992,0
DEP00059-1992,0
DEP00060-1992,0
DEP00063-1992,0
DEP00064-1992,3
DEP00067-1992,0
DEP00068-1992,0
DEP00069-1992,0
DEP00070-1992,0
DEP00071-1992,0
DEP00072-1992,0
DEP00073-1992,0
DEP00074-1992,0
DEP00075-1992,0
DEP00076-1992,0
DEP00077-1992,0
DEP00078-1992,0
DEP00079-1992,0
DEP00080-1992,0
DEP00081-1993,0
DEP00082-1992,0
DEP00083-1992,0
DEP00084-1993,0
DEP00085-1993,0
DEP00086-1993,0
DEP00087-1993,0
DEP00088-1993,0
DEP00089-1993,0
DEP00090-1994,0
DEP00091-1994,0
DEP00092-1994,0
DEP00093-1994,0
DEP00095-1995,0
DEP00097-1996,0
DEP00098-1996,0
DEP00099-1997,0
DEP00100-1997,0
DEP00101-1997,0
DEP00102-1997,0
DEP00103-1997,0
DEP00104-1997,0
DEP00105-1997,0
DEP00106-1998,0
DEP00107-1998,0
DEP00108-1999,0
DEP00109-1999,0
DEP00111-2003,0
DEP00112-2003,1
DEP00113-2004,0
DEP00114-2004,0
DEP00115-2004,0
DEP00116-2004,0
DKS.A.00088,0
MS-00001-1988,4
MS-00002-1988,1
MS-00003-1988,1
MS-00004-1988,1
MS-00005-1988,1
MS-00006-1988,1
MS-00007-1988,1
MS-00008-1988,1
MS-00009-1988,1
MS-00010-1988,1
MS-00011-1988,1
MS-00012-1988,1
MS-00013-1988,1
MS-00014-1988,1
MS-00015-1988,1
MS-00016-1988,2
MS-00017-1988,2
MS-00018-1988,1
MS-00019-1988,1
MS-00020-1988,1
MS-00021-1988,1
MS-00022-1988,1
MS-00023-1988,1
MS-00024-1988,1
MS-00025-1988,3
MS-00026-1988,1
MS-00027-1988,3
MS-00028-1988,1
MS-00029-1988,1
MS-00030-1988,1
MS-00031-1988,1
MS-00033-1988,3
MS-00034-1988,3
MS-00035-1988,1
MS-00036-1988,1
MS-00037-1988,1
MS-00038-1988,1
MS-00039-1988,1
MS-00040-1988,1
MS-00041-1988,1
MS-00042-1988,1
MS-00043-1988,1
MS-00044-1988,1
MS-00045-1988,1
MS-00046-1988,1
MS-00047-1988,1
MS-00048-1988,2
MS-00049-1988,1
MS-00050-1988,1
MS-00051-1988,1
MS-00052-1988,1
MS-00053-1988,2
MS-00054-1988,1
MS-00055-1988,4
MS-00056-1988,1
MS-00057-1988,1
MS-00058-1988,1
MS-00059-1988,1
MS-00060-1988,1
MS-00061-1988,1
MS-00062-1988,1
MS-00063-1988,1
MS-00064-1988,1
MS-00065-1988,1
MS-00066-1988,1
MS-00067-1988,1
MS-00068-1988,1
MS-00069-1988,1
MS-00070-1988,3
MS-00071-1988,1
MS-00072-1988,1
MS-00073-1988,1
MS-00074-1988,1
MS-00075-1988,1
MS-00076-1988,1
MS-00077-1988,1
MS-00079-1988,1
MS-00080-1988,1
MS-00081-1988,1
MS-00082-1988,1
MS-00083-1988,1
MS-00084-1988,2
MS-00085-1988,1
MS-00086-1988,1
MS-00087-1988,1
MS-00088-1988,1
MS-00088-1988-1,0
MS-00088-1988-2,0
MS-00088-1988-3,0
MS-00088-1988-4,0
MS-00088-1988-5,0
MS-00088-1988-6,0
MS-00088-1988-7,0
MS-00088-1988-8,0
MS-00088-1988-9,0
MS-00089-1988,3
MS-00090-1988,3
MS-00091-1988,3
MS-00092-1988-1,1
MS-00092-1988-2,1
MS-00092-1988-3,1
MS-00092-1988-4,1
MS-00092-1988-5,1
MS-00092-1988-6,1
MS-00092-1988-7,1
MS-00092-1988-8,1
MS-00093-1988,0
MS-00094-1988,1
MS-00095-1988,1
MS-00096-1988,1
MS-00097-1988,1
MS-00098-1988,1
MS-00099-1988,1
MS-00100-1988,1
MS-00101-1988,1
MS-00102-1988,1
MS-00103-1988,3
MS-00104-1988,1
MS-00105-1988,1
MS-00106-1988,1
MS-00107-1988,1
MS-00108-1988,1
MS-00109-1988,1
MS-00110-1988,2
MS-00111-1988,1
MS-00112-1988,1
MS-00113-1988,1
MS-00114-1988,1
MS-00115-1988,1
MS-00116-1988,3
MS-00117-1988,1
MS-00118-1988,1
MS-00119-1988,1
MS-00120-1988,3
MS-00121-1988,1
MS-00122-1988,3
MS-00123-1988,1
MS-00124-1988,1
MS-00125-1988,1
MS-00126-1988,3
MS-00127-1988,1
MS-00128-1988,1
MS-00129-1988,1
MS-00130-1988,1
MS-00131-1988,1
MS-00132-1988,1
MS-00133-1988,1
MS-00135-1988,1
MS-00136-1988,1
MS-00137-1988,1
MS-00138-1988,1
MS-00139-1988,1
MS-00140-1988,1
MS-00141-1988,3
MS-00142-1988,1
MS-00143-1988,3
MS-00144-1988,1
MS-00145-1988,1
MS-00146-1988,1
MS-00147-1988,1
MS-00148-1988,1
MS-00149-1988,1
MS-00150-1988,1
MS-00151-1988,2
MS-00152-1988,1
MS-00153-1988,1
MS-00154-1988,1
MS-00155-1988,1
MS-00156-1988,1
MS-00157-1988,1
MS-00158-1988,1
MS-00159-1988,1
MS-00160-1988,1
MS-00161-1988,1
MS-00162-1988,1
MS-00163-1988,1
MS-00164-1988,6
MS-00165-1988,1
MS-00166-1988,1
MS-00167-1988,1
MS-00168-1988,3
MS-00169-1988,1
MS-00170-1988,3
MS-00171-1988,3
MS-00172-1988,1
MS-00173-1988,1
MS-00174-1988,1
MS-00175-1988,4
MS-00176-1988,1
MS-00177-1988,3
MS-00178-1988,1
MS-00179-1988,1
MS-00180-1988,1
MS-00181-1988,1
MS-00182-1988,1
MS-00183-1988,1
MS-00184-1988,3
MS-00185-1988,1
MS-00186-1988,1
MS-00187-1988,3
MS-00188-1988,1
MS-00189-1988,1
MS-00190-1988,1
MS-00191-1988,1
MS-00192-1988,1
MS-00193-1988,1
MS-00195-1988,1
MS-00196-1988,1
MS-00197-1988,1
MS-00198-1988,3
MS-00198-1988,3
MS-00199-1988,5
MS-00200-1988,1
MS-00201-1988,1
MS-00202-1988,1
MS-00203-1988,1
MS-00204-1988,1
MS-00205-1988,1
MS-00206-1988,1
MS-00207-1988,1
MS-00208-1988,4
MS-00209-1988,4
MS-00210-1988,1
MS-00211-1988,1
MS-00212-1988,1
MS-00213-1988,1
MS-00214-1988,3
MS-00215-1988,1
MS-00216-1988,1
MS-00218-1988,1
MS-00219-1988,1
MS-00220-1988,1
MS-00221-1988,1
MS-00223-1988,1
MS-00224-1988,1
MS-00225-1988,1
MS-00226-1988,1
MS-00227-1988,1
MS-00229-1988,1
MS-00230-1988,1
MS-00231-1988,2
MS-00232-1988,1
MS-00233-1988,1
MS-00234-1988,1
MS-00235-1988,1
MS-00236-1988,1
MS-00237-1988,1
MS-00238-1988,1
MS-00239-1988,2
MS-00240-1988,1
MS-00241-1988,1
MS-00242-1988,1
MS-00243-1988,1
MS-00244-1988,1
MS-00245-1988,1
MS-00246-1988,1
MS-00247-1988,1
MS-00248-1988,1
MS-00249-1988,1
MS-00250-1988,1
MS-00251-1988,1
MS-00252-1988,1
MS-00253-1988,1
MS-00254-1988,1
MS-00255-1988,1
MS-00256-1988,1
MS-00257-1988,2
MS-00258-1988,1
MS-00259-1988,2
MS-00260-1988,1
MS-00261-1988,1
MS-00262-1988,1
MS-00263-1988,1
MS-00264-1988,1
MS-00265-1988,1
MS-00266-1988,1
MS-00267-1988,1
MS-00268-1988,1
MS-00269-1988,1
MS-00270-1988,1
MS-00271-1988,1
MS-00272-1988,1
MS-00273-1988,1
MS-00274-1988,1
MS-00275-1988,1
MS-00276-1988,1
MS-00277-1988,3
MS-00278-1988,1
MS-00279-1988,3
MS-00280-1988,1
MS-00281-1988,1
MS-00282-1988,1
MS-00283-1988,1
MS-00284-1988,1
MS-00285-1988,1
MS-00286-1988,1
MS-00287-1988,1
MS-00288-1988,1
MS-00289-1988,1
MS-00290-1988,1
MS-00291-1988,1
MS-00292-1988,1
MS-00293-1988,1
MS-00294-1988,1
MS-00295-1988,1
MS-00296-1988,1
MS-00297-1988,1
MS-00298-1988,1
MS-00299-1988,1
MS-00300-1988,1
MS-00301-1988,3
MS-00302-1988,1
MS-00303-1988,1
MS-00304-1988,1
MS-00305-1988,1
MS-00306-1988,1
MS-00307-1988,1
MS-00308-1988,2
MS-00309-1988,1
MS-00310-1988,1
MS-00312-1988,4
MS-00313-1988,1
MS-00314-1988,1
MS-00315-1988,1
MS-00316-1988,1
MS-00317-1988,1
MS-00318-1988,1
MS-00319-1988,1
MS-00320-1988,1
MS-00321-1988,1
MS-00321-1988VERSO,0
MS-00322-1988,1
MS-00323-1988,1
MS-00324-1988,1
MS-00325-1988,1
MS-00326-1988,1
MS-00327-1988,1
MS-00328-1988,1
MS-00329-1988,1
MS-00330-1988,1
MS-00331-1988,1
MS-00332-1988,1
MS-00333-1988,1
MS-00334-1988,1
MS-00335-1988,1
MS-00336-1988,3
MS-00337-1988,1
MS-00338-1988,1
MS-00339-1988,1
MS-00340-1988,3
MS-00341-1988,1
MS-00342-1988,1
MS-00343-1988,1
MS-00344-1988,3
MS-00345-1988,1
MS-00346-1988,1
MS-00347-1988,1
MS-00348-1988,1
MS-00349-1988,1
MS-00350-1988,1
MS-00351-1988,1
MS-00352-1988,1
MS-00353-1988,1
MS-00354-1988,1
MS-00355-1988,1
MS-00356-1988,1
MS-00357-1988,1
MS-00358-1988,1
MS-00359-1988,1
MS-00360-1988,1
MS-00361-1988,1
MS-00362-1988,1
MS-00363-1988,1
MS-00364-1988,1
MS-00365-1988,1
MS-00366-1988,1
MS-00367-1988,1
MS-00369-1988,1
MS-00370-1988,1
MS-00371-1988,1
MS-00372-1988,1
MS-00373-1988,1
MS-00374-1988,1
MS-00375-1988,1
MS-00376-1988,1
MS-00377-1988,1
MS-00378-1988,1
MS-00379-1988,1
MS-00380-1988,1
MS-00381-1988,1
MS-00382-1988,1
MS-00383-1988,1
MS-00384-1988,1
MS-00385-1988,1
MS-00386-1988,1
MS-00387-1988,1
MS-00388-1988,1
MS-00389-1988,1
MS-00390-1988,1
MS-00391-1988,1
MS-00392-1988,1
MS-00393-1988,1
MS-00394-1988,4
MS-00395-1988,1
MS-00396-1988,1
MS-00397-1988,1
MS-00398-1988,1
MS-00399-1988,1
MS-00400-1988,1
MS-00401-1988,1
MS-00402-1988,1
MS-00403-1988,1
MS-00404-1988,1
MS-00405-1988,1
MS-00406-1988,1
MS-00407-1988,1
MS-00408-1988,1
MS-00409-1988,1
MS-00410-1988,1
MS-00411-1988,2
MS-00412-1988,1
MS-00417-1988,1
MS-00418-1988,1
MS-00419-1988,1
MS-00420-1988,1
MS-00421-1988,1
MS-00422-1988,1
MS-00423-1988,3
MS-00424-1988,1
MS-00425-1988,3
MS-00426-1988,1
MS-00427-1988,1
MS-00428-1988,1
MS-00429-1988,1
MS-00430-1988,1
MS-00431-1988,1
MS-00432-1988,1
MS-00433-1988,1
MS-00434-1988,1
MS-00435-1988,1
MS-00436-1988,1
MS-00437-1988,1
MS-00438-1988,1
MS-00439-1988,1
MS-00440-1988,1
MS-00441-1988,1
MS-00443-1988,3
MS-00444-1988,3
MS-00445-1988,1
MS-00446-1988,1
MS-00447-1988,3
MS-00448-1988,1
MS-00449-1988,1
MS-00451-1988,1
MS-00452-1988,3
MS-00453-1988,1
MS-00454-1988,1
MS-00455-1988,1
MS-00456-1988,1
MS-00457-1988,1
MS-00458-1988,5
MS-00459-1988,1
MS-00460-1988,1
MS-00462-1988,1
MS-00463-1988,1
MS-00464-1988,2
MS-00465-1988,1
MS-00466-1988,3
MS-00467-1988,1
MS-00468-1988,1
MS-00469-1988,1
MS-00470-1988,1
MS-00471-1988,1
MS-00472-1988,1
MS-00473-1988,1
MS-00474-1988,1
MS-00475-1988,1
MS-00476-1988,1
MS-00477-1988,1
MS-00478-1988,1
