id,photographer_id
DEP00112-2003,0
MS-00151-1988,0
MS-02001-1989,0
MS-02114-1989,0
MS-02500-1988,0
MS-02501-1988,1
MS-02784-1988,0
MS-02919-1988,0
MS-03551-1993,0
MS-03553-1993-001,0
MS-03553-1993-002,0
MS-03553-1993-003,0
MS-03553-1993-004,0
MS-03553-1993-005,0
MS-03553-1993-006,0
MS-03553-1993-007,0
MS-03553-1993-008,0
MS-03561-1993,0
MS-03562-1993,0
MS-03924-1997,0
MS-04034-1998,0
MS-04152-1998-10,0
MS-04187-1999,0
MS-04348-2000,0
MS-04572-2002,0
MS-04573-2002,0
MS-04575-2002,0
MS-04684-2003,0
NG.K&H.1952.0025,0
NG.K&H.B.00110,0
NG.K&H.B.05240,0
NG.K&H.B.08236,0
NG.K&H.B.08238,0
NG.K&H.B.15598,0
NG.M.00276,0
NG.M.00289-002,0
NG.M.00302-001,0
NG.M.00302-003,0
NG.M.00302-013,0
NG.M.00302-029,0
NG.M.00302-035,0
NG.M.00302-039,0
NG.M.00302-042,0
NG.M.00302-043,0
NG.M.00302-053,0
NG.M.00302-057,0
NG.M.00302-059,0
NG.M.00302-069,0
NG.M.00314,0
NG.M.00334h,0
NG.M.00378,0
NG.M.00458a,0
NG.M.00478,0
NG.M.00520m,0
NG.M.00636-003,0
NG.M.00636-010,0
NG.M.00636-011,0
NG.M.00636-012,0
NG.M.00636-014,0
NG.M.00636-015,0
NG.M.00636-018,0
NG.M.00799b,0
NG.M.00823,0
NG.M.00898,0
NG.M.00981,0
NG.M.01031,0
NG.M.01482,0
NG.M.01556,0
NG.M.01795,0
NG.M.01819,0
NG.M.02170,5
NG.M.02234,0
NG.M.02409,0
NG.M.02553,0
NG.M.02688,0
NG.M.02793,0
NG.M.02970,0
NG.M.02974,0
NG.M.03108,0
NG.M.03224,0
NG.M.03334,0
NG.M.03487,0
NG.M.03541,0
NG.M.03555,0
NG.M.03570,0
NG.M.03880,0
NG.M.03884,0
NG.M.03947,0
NG.M.03959,0
NG.M.04069,0
NG.M.04099,0
NG.M.04144,0
NG.M.04188,0
NG.M.04222,0
NG.M.04412,0
NMK.2004.0398,0
NMK.2004.0399,1
NMK.2006.0112,0
NMK.2006.0113,0
NMK.2006.0114,0
NMK.2006.0119,0
NMK.2006.0120,0
NMK.2006.0121,0
NMK.2007.0004,0
NMK.2007.0017,0
NMK.2007.0018,0
NMK.2007.0019,0
NMK.2007.0024,0
NMK.2007.0028,0
NMK.2007.0029,0
NMK.2007.0030,0
NMK.2007.0031,0
NMK.2007.0032,0
NMK.2007.0033,0
NMK.2007.0034,0
NMK.2007.0035,0
NMK.2007.0036,0
NMK.2007.0037,0
NMK.2007.0040,0
NMK.2007.0041,0
NMK.2007.0063,0
NMK.2007.0069,0
NMK.2011.0261,0
NMK.2011.0292,0
NMK.2011.0296,0
NMK.DEP.2011.0010,0
MS-00001-1988,1
